y_test,y_pred
7688800,4990861.471861471
24777600,14871509.401709402
12626000,16927065.36312849
3598400,4213171.698113208
3096000,6525491.338582677
7149600,6408169.724770642
1814400,7502446.511627907
8808100,6770826.315789473
6608400,9604430.64516129
1408000,3901062.295081967
9530100,8194646.79144385
5242800,8617572.727272727
12255600,17019851.724137932
11520100,8670825.2
11892800,8264716.049382716
972800,1681017.3410404625
11602500,11156651.489361702
6651200,6577257.86163522
2263600,4904854.148471615
56233000,8194646.79144385
3710800,5648964.814814814
6156800,5521441.758241759
7081600,7502446.511627907
13360900,18696161.76470588
5186000,4904854.148471615
7734600,10861135.454545455
3368800,4213171.698113208
7645100,8670825.2
5864300,5242493.1034482755
4621900,6773153.503184713
7398400,1306548.148148148
8319800,5572875.1773049645
6588300,8194646.79144385
6185700,8670825.2
332800,2627471.186440678
5912400,5572875.1773049645
19866800,16927065.36312849
2816000,2627471.186440678
24592600,6947436.269430052
4402000,4990861.471861471
13248900,7892860.0
5705600,7335302.857142857
5646400,5648964.814814814
6634100,10722364.285714285
12837400,11267743.47826087
5961400,15597353.333333334
9808000,5521441.758241759
3988800,4213171.698113208
2574400,4904854.148471615
819200,550158.4905660377
5478700,8194646.79144385
6950400,3915054.5454545454
8771200,5521441.758241759
4147200,2627471.186440678
4003500,7828053.846153846
1996800,550158.4905660377
11393400,9033719.696969697
512000,550158.4905660377
1715200,2627471.186440678
1177600,1211584.2794759825
5085600,6773153.503184713
614400,1681017.3410404625
6957700,7166255.555555556
4940800,5521441.758241759
6241300,8194646.79144385
18867200,2627471.186440678
5362800,6947436.269430052
435200,2627471.186440678
4921200,6773153.503184713
7440000,5521441.758241759
16089800,18696161.76470588
5183200,4213171.698113208
15534200,13761523.27586207
6139000,8194646.79144385
7282900,11267743.47826087
23987000,16927065.36312849
6608000,4213171.698113208
4727200,5648964.814814814
4579000,5424037.226277372
3626400,5648964.814814814
9415800,10861135.454545455
9512400,7427003.493449782
1811200,6947436.269430052
8520000,5648964.814814814
3372000,5648964.814814814
1561600,2151101.3698630137
5284100,5424037.226277372
6656500,9212127.083333334
9214400,4990861.471861471
10226500,8670825.2
972800,3915054.5454545454
6638100,9033719.696969697
7444600,7828053.846153846
614400,2151101.3698630137
9636100,8194646.79144385
9353600,5572875.1773049645
10723700,7427003.493449782
12421300,6773153.503184713
5839600,4904854.148471615
5922600,10861135.454545455
12544900,12923541.420118343
10525400,12923541.420118343
4776900,8194646.79144385
8153100,8194646.79144385
34321900,18696161.76470588
563200,1681017.3410404625
4627000,5424037.226277372
14925600,15597353.333333334
4713800,5572875.1773049645
15648400,13761523.27586207
28696600,11156651.489361702
5718400,5648964.814814814
5936800,7828053.846153846
7003200,7427003.493449782
11109600,4904854.148471615
7872000,8264716.049382716
3610400,8264716.049382716
12703700,9033719.696969697
384000,5196800.0
9752800,11332790.909090908
1382400,2151101.3698630137
8227400,4990861.471861471
5177400,6420612.280701755
4479600,5242493.1034482755
2841600,3915054.5454545454
3914400,4213171.698113208
4458400,6525491.338582677
3652800,5521441.758241759
2252800,2627471.186440678
6069900,8194646.79144385
6244800,6947436.269430052
1408000,2627471.186440678
3417600,4213171.698113208
5350700,5424037.226277372
10053400,9390321.212121213
8342500,7892860.0
4077500,6770826.315789473
17750700,7427003.493449782
9375300,10722364.285714285
2679200,4990861.471861471
7806000,9604430.64516129
4581500,7917255.395683453
9881600,9155456.0
4604800,6577257.86163522
9838500,8670825.2
256000,2151101.3698630137
6714600,6525491.338582677
4896000,6577257.86163522
5151200,5648964.814814814
5338800,5648964.814814814
19788400,16927065.36312849
8420600,9229030.0
4978200,5572875.1773049645
8474000,11267743.47826087
358400,1681017.3410404625
12976100,15251452.631578946
10662800,16927065.36312849
4759400,6525491.338582677
23297400,18696161.76470588
9072100,9604430.64516129
332800,2151101.3698630137
14298300,11156651.489361702
6431400,8670825.2
5012600,7427003.493449782
4079400,6525491.338582677
4563200,5521441.758241759
153600,1072818.6046511629
9138400,11535673.333333334
7287800,4990861.471861471
5580600,6770826.315789473
4682800,4990861.471861471
10703600,6947436.269430052
10208000,6577257.86163522
870400,1211584.2794759825
6941600,6408169.724770642
5738400,4213171.698113208
1331200,1211584.2794759825
16615700,18696161.76470588
3174400,2151101.3698630137
2620800,7502446.511627907
6638500,7427003.493449782
7507900,8194646.79144385
4454400,2627471.186440678
6733800,7892860.0
12943600,6773153.503184713
1318400,2627471.186440678
2784000,5521441.758241759
6142800,8670825.2
35716500,24033901.796407185
6447300,8670825.2
755200,2627471.186440678
6848000,2627471.186440678
7945100,9033719.696969697
13585800,7427003.493449782
8086100,9390321.212121213
6702100,8670825.2
11113600,10982058.826923076
8523600,4904854.148471615
5235000,5572875.1773049645
31232300,24033901.796407185
512000,2627471.186440678
563200,3681280.0
20413100,9212127.083333334
2840000,5521441.758241759
7661200,7427003.493449782
27256000,13761523.27586207
5636600,6947436.269430052
2854400,2627471.186440678
22236700,24033901.796407185
1792000,1211584.2794759825
4172800,3901062.295081967
3217600,7502446.511627907
7398400,6525491.338582677
8005000,8670825.2
6486300,7917255.395683453
7827400,9033719.696969697
5997500,6408169.724770642
4555000,6947436.269430052
2073600,1306548.148148148
8365100,11156651.489361702
8498400,6770826.315789473
7942400,5648964.814814814
9921600,4904854.148471615
6334400,6577257.86163522
7262500,14871509.401709402
7967700,7115035.294117647
4032000,5521441.758241759
3687400,6525491.338582677
4302800,5424037.226277372
3371200,4213171.698113208
7126600,9390321.212121213
3468800,5624623.2558139535
46265200,18696161.76470588
8560000,8264716.049382716
1987600,4904854.148471615
4712800,5648964.814814814
14234900,10863653.846153846
8712400,4213171.698113208
10883200,5521441.758241759
8447300,8670825.2
6488900,10268700.0
7123800,7828053.846153846
9054000,5999249.1228070175
10970600,24033901.796407185
3812000,5648964.814814814
4787200,2627471.186440678
5552000,4990861.471861471
12554800,10128187.301587302
11168800,14871509.401709402
7645800,5572875.1773049645
1228800,550158.4905660377
25569500,16927065.36312849
10027500,9033719.696969697
7448200,9155456.0
921600,1072818.6046511629
1049600,2151101.3698630137
3771200,6577257.86163522
4195200,5521441.758241759
5317800,6770826.315789473
5101000,8194646.79144385
7243800,7828053.846153846
14846900,16927065.36312849
5385600,6577257.86163522
9764100,10722364.285714285
6049600,5624623.2558139535
7052800,3915054.5454545454
819200,2627471.186440678
7770000,6770826.315789473
5277200,5572875.1773049645
2304000,3901062.295081967
8357300,10982058.826923076
13080300,8194646.79144385
3588800,5648964.814814814
2161600,9155456.0
1664000,2151101.3698630137
12582600,6525491.338582677
1382400,3901062.295081967
13463400,12923541.420118343
12140800,12923541.420118343
7537800,4990861.471861471
12457500,12923541.420118343
20268400,24033901.796407185
460800,1072818.6046511629
4202000,6525491.338582677
12311100,17019851.724137932
2419200,2627471.186440678
12391300,16927065.36312849
7868000,13761523.27586207
3644800,5648964.814814814
1536000,2627471.186440678
3496000,5648964.814814814
6758400,6577257.86163522
4487600,4213171.698113208
14495900,14871509.401709402
9507400,11156651.489361702
4491900,5242493.1034482755
8258000,11267743.47826087
3385200,4213171.698113208
5875800,7917255.395683453
4260600,6525491.338582677
0,550158.4905660377
5875200,6577257.86163522
2368000,5521441.758241759
6060800,7502446.511627907
5210400,8264716.049382716
8194800,8194646.79144385
13273600,6577257.86163522
4428800,2627471.186440678
4786400,7427003.493449782
7042600,4990861.471861471
5235200,3915054.5454545454
4504000,5648964.814814814
409600,456145.45454545453
11707200,7335302.857142857
9284200,6947436.269430052
6339600,6770826.315789473
2201600,1211584.2794759825
6768400,6525491.338582677
6850100,8670825.2
6419200,5521441.758241759
9480800,9155456.0
4679400,8194646.79144385
7278500,5424037.226277372
11715000,10722364.285714285
6150200,5572875.1773049645
7031600,9907051.612903226
1408000,2627471.186440678
5752800,7828053.846153846
14627200,7502446.511627907
3874800,6947436.269430052
2649600,7502446.511627907
9865400,6770826.315789473
15115600,6525491.338582677
4825600,8264716.049382716
4081200,4990861.471861471
11040000,8264716.049382716
12722700,9033719.696969697
768000,1426285.7142857143
12835700,8032119.354838709
4512000,6577257.86163522
7065700,8670825.2
12273300,12923541.420118343
9408400,13761523.27586207
3950400,4904854.148471615
11198600,16927065.36312849
6664200,10128187.301587302
4464000,5521441.758241759
7968000,8264716.049382716
7047400,7427003.493449782
6368000,6577257.86163522
7228800,5521441.758241759
3942400,456145.45454545453
4259200,5648964.814814814
6075300,7427003.493449782
460800,2627471.186440678
7795600,11156651.489361702
8031000,7427003.493449782
4604500,9212127.083333334
12924800,6577257.86163522
8413800,11267743.47826087
24280800,13761523.27586207
5923400,5572875.1773049645
10737100,8194646.79144385
7140200,5572875.1773049645
7171200,6577257.86163522
3812400,4990861.471861471
460800,2627471.186440678
4800300,7427003.493449782
19065800,16927065.36312849
23190400,24033901.796407185
7577600,2151101.3698630137
20321300,24033901.796407185
10045000,7917255.395683453
14109000,12923541.420118343
10664000,8194646.79144385
5552800,4904854.148471615
3639200,5572875.1773049645
3248000,5648964.814814814
7268600,7917255.395683453
7803200,5648964.814814814
2022400,7502446.511627907
4076000,6947436.269430052
614400,2151101.3698630137
716800,1072818.6046511629
7225800,7335302.857142857
12492800,6577257.86163522
7136000,8032119.354838709
22502400,9155456.0
5208800,5648964.814814814
9141200,7892860.0
17117900,12923541.420118343
3709400,9155456.0
2721600,5521441.758241759
716800,3681280.0
23401900,9212127.083333334
12000000,5648964.814814814
14925800,9390321.212121213
6044500,7427003.493449782
20761600,2627471.186440678
6844800,8264716.049382716
1344000,3915054.5454545454
9288100,11156651.489361702
4849600,6577257.86163522
4601600,4213171.698113208
6114500,6420612.280701755
6540600,8617572.727272727
9178900,9604430.64516129
3961200,4213171.698113208
2355200,2627471.186440678
8557400,11156651.489361702
6301600,8264716.049382716
4356800,5457200.0
4440100,5999249.1228070175
4838400,5521441.758241759
1228800,1211584.2794759825
665600,2627471.186440678
6369000,8670825.2
5041600,4904854.148471615
6942700,6773153.503184713
6371200,7502446.511627907
4963200,6525491.338582677
9483500,10722364.285714285
409600,1072818.6046511629
10252800,7502446.511627907
13008700,18696161.76470588
0,2627471.186440678
5774100,8617572.727272727
1280000,550158.4905660377
4213600,4213171.698113208
5065600,6577257.86163522
5424000,6525491.338582677
6118400,5521441.758241759
7025500,7427003.493449782
691200,2627471.186440678
3626200,6525491.338582677
7776000,7502446.511627907
6909600,8670825.2
6572400,6770826.315789473
10161000,5572875.1773049645
11195200,4213171.698113208
3772800,5521441.758241759
5322200,6525491.338582677
5638600,5424037.226277372
6076800,6577257.86163522
4572800,5521441.758241759
2400000,5521441.758241759
2110400,5521441.758241759
9394600,9212127.083333334
13516600,9033719.696969697
11325200,11156651.489361702
4175600,4213171.698113208
7065600,2627471.186440678
10407300,9033719.696969697
9910000,11156651.489361702
9794300,14871509.401709402
2190400,4990861.471861471
7006100,11156651.489361702
947200,2627471.186440678
7254500,6773153.503184713
9848100,11156651.489361702
13619300,13761523.27586207
15844100,15251452.631578946
204800,1211584.2794759825
1228800,1211584.2794759825
7991800,4990861.471861471
12301000,13761523.27586207
5250800,4904854.148471615
5444300,7427003.493449782
7610900,7427003.493449782
8085600,9390321.212121213
6926600,9907051.612903226
11978000,4990861.471861471
4879600,9155456.0
27930000,16927065.36312849
2251200,4990861.471861471
16060800,7502446.511627907
9793100,11156651.489361702
16373800,8194646.79144385
9127400,8194646.79144385
22037000,16927065.36312849
2638400,5521441.758241759
4918400,5572875.1773049645
6340100,8670825.2
409600,2627471.186440678
6715000,6525491.338582677
5036900,7828053.846153846
5608600,5242493.1034482755
7323800,7828053.846153846
4391200,6947436.269430052
35684600,11156651.489361702
1510400,2151101.3698630137
6000400,4990861.471861471
512000,2627471.186440678
17100400,18696161.76470588
2713600,550158.4905660377
2201600,2151101.3698630137
6472400,10128187.301587302
2316400,6773153.503184713
409600,1426285.7142857143
3884800,6577257.86163522
6096400,6773153.503184713
51200,1211584.2794759825
8009200,9212127.083333334
3827600,4904854.148471615
9600800,5648964.814814814
8798500,7427003.493449782
12202000,7917255.395683453
3251200,2627471.186440678
6756400,4904854.148471615
3494400,6577257.86163522
1024000,2627471.186440678
6508500,6773153.503184713
24206400,15883800.0
3251200,5521441.758241759
5441200,6770826.315789473
4096000,3901062.295081967
4491600,6773153.503184713
3620800,5648964.814814814
384000,2627471.186440678
16064300,7917255.395683453
4088200,6408169.724770642
11954300,6408169.724770642
4572800,5521441.758241759
26814500,24033901.796407185
8050300,16927065.36312849
9977200,5242493.1034482755
4363700,6408169.724770642
20853900,18696161.76470588
1766400,2627471.186440678
460800,550158.4905660377
6100800,8670825.2
4642200,6525491.338582677
6481400,4990861.471861471
9265600,10722364.285714285
2971000,6525491.338582677
4896400,6408169.724770642
26508900,18696161.76470588
10021200,11156651.489361702
8422000,9033719.696969697
10213500,11156651.489361702
47796100,24033901.796407185
7792000,5521441.758241759
10985200,6525491.338582677
4790400,5521441.758241759
11452600,9155456.0
921600,2627471.186440678
10348200,8670825.2
6114200,8670825.2
8016000,6420612.280701755
14521700,18696161.76470588
14845200,11156651.489361702
4291800,6773153.503184713
27298900,17019851.724137932
2028800,5521441.758241759
4083200,5648964.814814814
8150700,8670825.2
12003200,6577257.86163522
7244800,3915054.5454545454
3986900,5424037.226277372
512000,1211584.2794759825
5916300,6408169.724770642
563200,1681017.3410404625
11929600,2627471.186440678
5264400,4990861.471861471
22764800,6577257.86163522
8105400,4990861.471861471
2304000,2627471.186440678
6673300,7917255.395683453
14849600,6525491.338582677
3020800,3681280.0
6242600,6770826.315789473
6877800,6408169.724770642
9321900,12923541.420118343
7967400,6947436.269430052
10457300,7427003.493449782
13788100,11156651.489361702
6535600,6525491.338582677
9112800,8670825.2
7000200,8194646.79144385
8297200,5648964.814814814
8531700,8670825.2
3579400,5424037.226277372
1561600,2627471.186440678
3353600,5521441.758241759
486400,2627471.186440678
2227200,3915054.5454545454
10142600,8670825.2
4729600,7502446.511627907
3041400,4990861.471861471
4864000,3915054.5454545454
1254400,2627471.186440678
3960000,6577257.86163522
4819800,4990861.471861471
10477900,13761523.27586207
4200600,6773153.503184713
21049600,24033901.796407185
10010500,10861135.454545455
166400,3915054.5454545454
3466400,5648964.814814814
14657800,17019851.724137932
9409100,10128187.301587302
1075200,1681017.3410404625
6284800,5521441.758241759
1958400,3915054.5454545454
6907200,5521441.758241759
8425900,7427003.493449782
8368800,4990861.471861471
6756200,7828053.846153846
12302900,10863653.846153846
2918400,3901062.295081967
10982400,2627471.186440678
19431900,16175187.5
3010600,6525491.338582677
6139400,9033719.696969697
15712200,12923541.420118343
13367300,14871509.401709402
21320300,17019851.724137932
22501700,14871509.401709402
28203700,24033901.796407185
5441700,8670825.2
5683200,7502446.511627907
7652400,6773153.503184713
6560000,8670825.2
1228800,1681017.3410404625
4848000,6577257.86163522
25792300,12923541.420118343
6884800,8264716.049382716
4780800,7502446.511627907
7097200,6525491.338582677
6473600,6525491.338582677
5859000,11267743.47826087
6036800,5648964.814814814
998400,2627471.186440678
9197500,10861135.454545455
13040000,8264716.049382716
17943800,7917255.395683453
8567000,7892860.0
17295600,24033901.796407185
5877400,7828053.846153846
4053200,6947436.269430052
12702800,6525491.338582677
5969600,8264716.049382716
3916800,3915054.5454545454
307200,456145.45454545453
2278400,2151101.3698630137
3993600,2627471.186440678
1561600,2627471.186440678
10383500,10128187.301587302
51200,2627471.186440678
7178600,10722364.285714285
4662300,6773153.503184713
7226600,4990861.471861471
4176800,6525491.338582677
3943700,8670825.2
8321000,9155456.0
1996800,2151101.3698630137
10541900,7828053.846153846
5088000,6770826.315789473
9553100,11156651.489361702
6082100,6770826.315789473
15585500,11156651.489361702
11725900,9604430.64516129
2329600,2627471.186440678
6951200,7917255.395683453
3993100,5999249.1228070175
1638400,2627471.186440678
1904000,5521441.758241759
21881200,12923541.420118343
1894400,3915054.5454545454
7558000,9033719.696969697
4320000,7502446.511627907
17017100,18696161.76470588
8208400,10982058.826923076
6426800,4990861.471861471
3788800,1681017.3410404625
1638400,1211584.2794759825
7964400,8194646.79144385
7614900,11156651.489361702
307200,1211584.2794759825
9165200,9212127.083333334
16507500,16927065.36312849
1203200,1306548.148148148
6754500,7427003.493449782
5754200,5424037.226277372
8535700,6773153.503184713
10676400,6687035.0
8849200,7335302.857142857
3107200,7502446.511627907
6112300,5424037.226277372
6635200,4213171.698113208
12075300,7335302.857142857
5563700,7917255.395683453
6687400,6525491.338582677
8306000,6947436.269430052
5998800,6773153.503184713
2918400,3681280.0
12335300,11156651.489361702
6551200,6525491.338582677
2355200,3901062.295081967
